columnId	description	type
fastq_bytes	size (in bytes) of FASTQ files	text
fastq_file_role	File role for fastq file	text
fastq_ftp	FTP links for fastq files	text
fastq_galaxy	Galaxy links for fastq files	text
fastq_md5	MD5 checksum of FASTQ files	text
file_location	text
first_created	date when first created	date
first_public	date when made public	date
germline	the sample is an unrearranged molecule that was inherited from the parental germline	boolean
hi_c_protocol	Link to Hi-C Protocol for FAANG experiments	text
host	natural (as opposed to laboratory) host to the organism from which sample was obtained	text
host_body_site	name of body site from where the sample was obtained	text
host_genotype	genotype of host	text
host_gravidity	whether or not subject is gravid, including date due or date post-conception where applicable	text
host_growth_conditions	literature reference giving growth conditions of the host	text
host_phenotype	phenotype of host	text
host_scientific_name	Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained	text
host_sex	physical sex of the host	controlled value
host_status	condition of host (eg. diseased or healthy)	text
host_tax_id	NCBI taxon id of the host	number
identified_by	name of the taxonomist who identified the specimen	text
instrument_model	instrument model used in sequencing experiment	controlled value
instrument_platform	instrument platform used in sequencing experiment	controlled value
investigation_type	the study type targeted by the sequencing	text
isolate	individual isolate from which sample was obtained	text
isolation_source	describes the physical, environmental and/or local geographical source of the sample	text
last_updated	date when last updated	date
lat	Latitude	number
library_construction_protocol	Library construction protocol	text
library_gen_protocol	text
library_layout	sequencing library layout	controlled value
library_max_fragment_size	number
library_min_fragment_size	number
library_name	sequencing library name	text
library_pcr_isolation_protocol	text
library_prep_date	text
library_prep_date_format	text
library_prep_latitude	number
library_prep_location	text
library_prep_longitude	number
library_selection	method used to select or enrich the material being sequenced	controlled value
library_source	source material being sequenced	controlled value
library_strategy	sequencing technique intended for the library	controlled value
local_environmental_context	Report the entity or entities which are in the sample or specimen’s local vicinity and which you believe have significant causal influences on your sample or specimen. We recommend using EnvO terms which are of smaller spatial grain than your entry for "broad-scale environmental context". Terms, such as anatomical sites, from other OBO Library ontologies which interoperate with EnvO (e.g. UBERON) are accepted in this field. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS.	text
location	geographic location of isolation of the sample	latlon
location_end	latlon
location_start	latlon
lon	Longitude	number
marine_region	geographical origin of the sample as defined by the marine region	text
mating_type	mating type of the organism from which the sequence was obtained	text
ncbi_reporting_standard	NCBI metadata reporting standard used to register the biosample (Package used)	controlled value
nominal_length	average fragmentation size of paired reads	number
nominal_sdev	standard deviation of fragmentation size of paired reads	number
pcr_isolation_protocol	text
ph	pH	number
project_name	name of the project within which the sequencing was organized	text
protocol_label	the protocol used to produce the sample	text
read_count	number of reads	number
read_strand	text
restriction_enzyme	text
restriction_enzyme_target_sequence	The DNA sequence targeted by the restrict enzyme	text
restriction_site	text
rna_integrity_num	number
rna_prep_3_protocol	text
rna_prep_5_protocol	text
rna_purity_230_ratio	number
rna_purity_280_ratio	number
rt_prep_protocol	text
run_accession	accession number	text
run_alias	submitter's name for the run	text
run_date	date
salinity	Salinity (PSU)	number
sample_accession	sample accession number	text
sample_alias	submitter's name for the sample	text
sample_capture_status	Sample capture status	text
sample_collection	the method or device employed for collecting the sample	text
sample_description	detailed sample description	text
sample_material	sample material label	text
sample_prep_interval	number
sample_prep_interval_units	text
sample_storage	text
sample_storage_processing	text
sample_title	brief sample title	text
sampling_campaign	the activity within which this sample was collected	text
sampling_platform	the large infrastructure from which this sample was collected	text
sampling_site	the site/station where this sample was collection	text
scientific_name	scientific name of an organism	text
secondary_project	Secondary project	text
secondary_sample_accession	secondary sample accession number	text
secondary_study_accession	secondary study accession number	text
sequencing_date	text
sequencing_date_format	text
sequencing_location	text
sequencing_longitude	number
sequencing_method	sequencing method used	text
sequencing_primer_catalog	The catalog from which the sequencing primer library was purchased	text
sequencing_primer_lot	The lot identifier of the sequencing primer library	text
sequencing_primer_provider	The name of the company, laboratory or person that provided the sequencing primer library	text
serotype	serological variety of a species characterized by its antigenic properties	text
serovar	serological variety of a species (usually a prokaryote) characterized by its antigenic properties	text
sex	sex of the organism from which the sample was obtained	controlled value
specimen_voucher	identifier for the sample culture including institute and collection code	text
sra_aspera	Aspera links for SRA data files. Use era-fasp or datahub name as username.	text
sra_bytes	size (in bytes) of SRA files	text
sra_file_role	File role for SRA file	text
sra_ftp	FTP links for SRA data files	text
sra_galaxy	Galaxy links for SRA data files	text
sra_md5	MD5 checksum of atchived files	text
status	Status	number
strain	strain from which sample was obtained	text
study_accession	study accession number	text
study_alias	submitter's name for the study	text
study_title	brief sequencing study description	text
sub_species	name of sub-species of organism from which sample was obtained	text
sub_strain	name or identifier of a genetically or otherwise modified strain from which sample was obtained	text
submission_accession	submission accession number	text
submission_tool	Submission tool	text
submitted_aspera	Aspera links for submitted files. Use era-fasp or datahub name as username.	text
submitted_bytes	size (in bytes) of submitted files	text
submitted_file_role	File role for submitted file	text
submitted_format	format of submitted reads	text
submitted_ftp	FTP links for submitted files	text
submitted_galaxy	Galaxy links for submitted files	text
submitted_host_sex	physical sex of the host	text
submitted_md5	MD5 checksum of submitted files	text
submitted_read_type	submitted FASTQ read type	list
surveillance_target	Surveillance target	number
tag	Classification Tags	controlled value
target_gene	targeted gene or locus name for marker gene studies	text
tax_id	NCBI taxonomic classification	taxonomy
tax_lineage	Complete taxonomic lineage for an organism	text
taxonomic_classification	Taxonomic classification	text
taxonomic_identity_marker	Taxonomic identity marker	text
temperature	Temperature (C)	number
tissue_lib	tissue library from which sample was obtained	text
tissue_type	tissue type from which the sample was obtained	text
transposase_protocol	text
variety	variety (varietas, a formal Linnaean rank) of organism from which sample was derived	text
