columnId	description	type
secondary_study_accession	secondary study accession number	text
sequencing_method	sequencing method used	text
serotype	serological variety of a species characterized by its antigenic properties	text
serovar	serological variety of a species (usually a prokaryote) characterized by its antigenic properties	text
sex	sex of the organism from which the sample was obtained	controlled value
specimen_voucher	identifier for the sample culture including institute and collection code	text
status	Status	number
strain	strain from which sample was obtained	text
study_accession	study accession number	text
study_alias	submitter's name for the study	text
study_title	brief sequencing study description	text
sub_species	name of sub-species of organism from which sample was obtained	text
sub_strain	name or identifier of a genetically or otherwise modified strain from which sample was obtained	text
submission_accession	submission accession number	text
submission_tool	Submission tool	text
submitted_aspera	Aspera links for submitted files. Use era-fasp or datahub name as username.	text
submitted_bytes	size (in bytes) of submitted files	text
submitted_file_role	File role for submitted file	text
submitted_format	format of submitted reads	text
submitted_ftp	FTP links for submitted files	text
submitted_galaxy	Galaxy links for submitted files	text
submitted_host_sex	physical sex of the host	text
submitted_md5	MD5 checksum of submitted files	text
surveillance_target	Surveillance target	number
tag	Classification Tags	controlled value
target_gene	targeted gene or locus name for marker gene studies	text
tax_id	NCBI taxonomic classification	taxonomy
tax_lineage	Complete taxonomic lineage for an organism	text
taxonomic_classification	Taxonomic classification	text
taxonomic_identity_marker	Taxonomic identity marker	text
temperature	Temperature (C)	number
tissue_lib	tissue library from which sample was obtained	text
tissue_type	tissue type from which the sample was obtained	text
variety	variety (varietas, a formal Linnaean rank) of organism from which sample was derived	text
